Matricula,CPF,Nome,Nota,Idade,Curso,Cidade
A0462022,763.774.165-63,Lucélia Careca Igreja,54.4,21,Sistemas de Informação,Ipuiúna
A0462023,937.784.576-91,Marilú Case Pôncio,31.85,29,Fonoaudiologia,Penha
A0462024,510.570.558-08,Graham Leopoldo Buck,69.39,27,Biomedicina,Baixo Guandu
A0462025,653.505.351-29,Maurice Davidson Fowler,42.41,26,Oceanografia,Jaraguá
A0462147,779.003.657-29,Bertoldo Castro Rich,99.41,21,Enfermagem,Ewbank da Câmara
A0462148,253.850.029-09,Kyle Garcia Ourique,27.65,29,Música,Monsenhor Paulo
A0462149,624.760.033-01,Ignacio Figueiredo Luna,74.24,30,Ciências Sociais,Jardim São Luís
A0462150,725.365.977-50,Beethoven Rocha Canaã,68.0,28,História,Guaianases
A0462151,696.854.427-03,Arcangelo Lewis Quixote,70.72,18,Marketing,Jacutinga
A0462152,688.210.483-22,Marta Connor Bernal,36.48,24,Marketing,Carvalhópolis
